name,price,product_link,rating,delivery_time
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage)","24,999",https://m.media-amazon.com/images/I/61nxQ62qglL._AC_UY218_.jpg,4.2 out of 5 stars,"Wed, 12 Jun"
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera","16,999",https://m.media-amazon.com/images/I/71VW8LmqqPL._AC_UY218_.jpg,3.7 out of 5 stars,"Wed, 12 Jun"
"OnePlus 11R 5G (Galactic Silver, 16GB RAM, 256GB Storage)","32,999",https://m.media-amazon.com/images/I/613SAOPmLeL._AC_UY218_.jpg,4.4 out of 5 stars,12 Jun - 3 Jul
"Motorola G34 5G (Charcoal Black, 8GB RAM, 128GB Storage)","12,270",https://m.media-amazon.com/images/I/71H6j2akjxL._AC_UY218_.jpg,3.9 out of 5 stars,"Sat, 15 Jun"
"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","12,999",https://m.media-amazon.com/images/I/91L9EF-OEGL._AC_UY218_.jpg,4.0 out of 5 stars,"Wed, 12 Jun"
"Redmi 13C 5G (Startrail Green,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","11,999",https://m.media-amazon.com/images/I/81KFSdWCCEL._AC_UY218_.jpg,4.0 out of 5 stars,"Wed, 12 Jun"
"OnePlus 12R (Iron Gray, 8GB RAM, 128GB Storage)","37,999",https://m.media-amazon.com/images/I/71XNeka-BRL._AC_UY218_.jpg,4.5 out of 5 stars,"Wed, 12 Jun"
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499",https://m.media-amazon.com/images/I/71d1ytcCntL._AC_UY218_.jpg,4.1 out of 5 stars,"Wed, 12 Jun"
"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","12,999",https://m.media-amazon.com/images/I/91fonhAtoAL._AC_UY218_.jpg,4.0 out of 5 stars,"Wed, 12 Jun"
"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","23,999",https://m.media-amazon.com/images/I/61Id6WJDWqL._AC_UY218_.jpg,4.3 out of 5 stars,"Wed, 12 Jun"
"OnePlus 12 (Silky Black, 16GB RAM, 512GB Storage)","69,999",https://m.media-amazon.com/images/I/71o8VehMHXL._AC_UY218_.jpg,4.5 out of 5 stars,"Thu, 13 Jun"
Apple iPhone 13 (128GB) - Midnight,"52,090",https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg,4.5 out of 5 stars,"Wed, 12 Jun"
"Redmi 12 (Moonstone Silver,6GB RAM, 128GB Storage)","9,999",https://m.media-amazon.com/images/I/71ij5dqxbeL._AC_UY218_.jpg,3.8 out of 5 stars,"Wed, 12 Jun"
"Redmi 13C 5G (Starlight Black, 8GB RAM, 256GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","13,999",https://m.media-amazon.com/images/I/81nMsYgIHdL._AC_UY218_.jpg,3.8 out of 5 stars,"Wed, 12 Jun"
Redmi 12 5G Jade Black 4GB RAM 128GB ROM,"11,999",https://m.media-amazon.com/images/I/71tCOhEigtL._AC_UY218_.jpg,3.8 out of 5 stars,"Thu, 13 Jun"
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)","22,999",https://m.media-amazon.com/images/I/6175SlKKECL._AC_UY218_.jpg,4.2 out of 5 stars,"Sat, 15 Jun"
Redmi 12 5G Jade Black 6GB RAM 128GB ROM,"12,499",https://m.media-amazon.com/images/I/71tCOhEigtL._AC_UY218_.jpg,4.0 out of 5 stars,"Wed, 12 Jun"
POCO C65 Matte Black 4GB RAM 128GB ROM,"6,799",https://m.media-amazon.com/images/I/51PQfSwIqyL._AC_UY218_.jpg,3.9 out of 5 stars,"Wed, 12 Jun"
"HONOR X9b 5G (Midnight Black, 8GB + 256GB) | India's First Ultra-Bounce Anti-Drop Curved AMOLED Display | 5800mAh Battery | 108MP Primary Camera | Without Charger","22,999",https://m.media-amazon.com/images/I/71H5JOOMacL._AC_UY218_.jpg,3.8 out of 5 stars,"Wed, 12 Jun"
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)","26,999",https://m.media-amazon.com/images/I/61g1pqSjAhL._AC_UY218_.jpg,4.2 out of 5 stars,"Wed, 12 Jun"
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"1,27,990",https://m.media-amazon.com/images/I/81CgtwSII3L._AC_UY218_.jpg,4.3 out of 5 stars,
Apple iPhone 15 (128 GB) - Yellow,"73,100",https://m.media-amazon.com/images/I/71REplb5oZL._AC_UY218_.jpg,4.5 out of 5 stars,"Thu, 13 Jun"
